"state","black_population","married_population","married_rate","bachelors_plus_population","bachelors_plus_rate","weighted_mean_personal_income"
"48","2892005","1020087","0.3527265685916864","815576","0.282010577436761","45676"
"12","2643172","915528","0.3463747345991861","611274","0.2312653130405437","38059"
"13","2624651","891190","0.3395460958428378","710651","0.27076018868794366","42749"
"36","2243610","652179","0.290682872691778","587356","0.26179059640490104","42989"
"37","1723776","584920","0.3393248310685379","421960","0.2447881859359917","38994"
"6","1697912","518494","0.3053715386898732","498277","0.2934645611786712","51125"
"24","1427563","514538","0.36043102826285073","481421","0.33723275260006036","57219"
"17","1305601","341254","0.26137694441104137","326442","0.25003197761031126","40177"
"51","1267970","450839","0.3555596741247821","366207","0.2888136154640883","48413"
"39","1079022","311834","0.28899688792258177","204333","0.18936870610608494","36303"
"22","1058442","315181","0.29777824387165286","167768","0.15850467007167138","30422"
"42","1050971","275894","0.2625134280584336","229577","0.2184427543671519","37884"
"26","1003916","260928","0.25991019168934454","192642","0.19189055658043103","35583"
"45","1003415","340592","0.3394328368621159","194369","0.19370748892532003","35555"
"1","998205","301471","0.30201311353880217","195893","0.19624526024213462","33533"
"34","953890","319996","0.3354642568849658","277213","0.2906131734267054","47859"
"47","820135","241314","0.29423692440878635","178800","0.21801288812207748","36736"
"28","800246","245088","0.30626582325934776","142605","0.17820145305318613","31757"
"29","491909","141580","0.28781746217288157","99423","0.20211665165711545","37527"
"18","467238","152399","0.32616996049122715","104818","0.22433534943647562","37013"
"25","373907","121755","0.3256291002842953","110992","0.29684386759274367","47731"
"5","322435","105848","0.32827701707320855","58917","0.18272520042799323","32596"
"9","310232","93874","0.30259289821810775","73256","0.23613295856004538","46061"
"27","300728","100133","0.3329686627118193","66774","0.22204118006969753","41395"
"4","273641","106681","0.3898575140421209","72472","0.26484335315248814","43613"
"53","252123","99232","0.39358567048623094","66596","0.26414091534687434","55264"
"55","248108","55363","0.2231407290373547","43168","0.17398874683605525","34308"
"21","244853","77308","0.3157322965207696","46690","0.19068584007547384","35455"
"32","228156","68352","0.29958449481933414","46606","0.2042725152965515","41619"
"11","224294","43794","0.1952526594558927","74966","0.33423096471595315","52333"
"40","211309","65382","0.30941417544922367","48066","0.22746783146955407","36514"
"8","191852","72426","0.3775097470967204","62818","0.3274294768884348","51370"
"10","179470","63962","0.35639382626622834","40858","0.22765921881094334","42234"
"20","122216","44045","0.36038652876873734","25638","0.20977613405773385","39559"
"19","93420","30093","0.32212588310854207","20650","0.22104474416613146","34281"
"41","65841","21232","0.32247383848969485","18492","0.28085843167631114","46117"
"31","65411","21790","0.3331243980370274","15105","0.23092446224641117","36299"
"44","48075","18477","0.38433697347893914","13430","0.27935517420696826","38166"
"54","47262","15910","0.33663408234945624","10744","0.2273285091616944","33002"
"35","36892","13927","0.3775073186598721","11958","0.3241353138891901","48288"
"49","28585","11402","0.39888053174742","8148","0.28504460381318875","51125"
"15","22367","11110","0.4967139088836232","5489","0.24540617874547324","62670"
"38","19876","8993","0.45245522237874825","6433","0.3236566713624472","40620"
"23","18658","6018","0.3225426090684961","6674","0.35770179011683995","32196"
"33","17864","6779","0.3794782803403493","5320","0.29780564263322884","50204"
"2","17424","7027","0.4032943067033976","4501","0.258321854912764","55038"
"46","15635","5622","0.3595778701630956","4717","0.3016949152542373","39973"
"16","9505","2798","0.2943713834823777","3122","0.32845870594423987","49216"
"56","4483","1463","0.3263439660941334","1786","0.3983939326343966","38976"
"50","4186","907","0.21667462971810797","1736","0.41471571906354515","49460"
"30","3195","1225","0.38341158059467917","584","0.18278560250391238","32531"
